company_code,document_number,description,payment_type,amount,currency_code,transaction_type,seller_number,customer_number,main_account,desc_length,desc_has_numbers,desc_uppercase_ratio,has_tckn,has_vkn,has_tckn_or_vkn,has_hvl,has_int,has_cepsube,has_komisyon,has_ucret,has_masraf,has_odeme,has_tahsilat,has_havale,has_virman,has_fatura,has_cek,has_eft,has_company_name,number_count,has_dash,has_dot,amount_log,amount_range,trans_pay_combo,company_group,doc_number_first_digit,doc_number_length,is_check_transaction,is_eft_transaction,is_transfer,is_high_amount,desc_suggests_seller,desc_suggests_customer,expects_seller,expects_customer,expects_main_account,payment_type_encoded,transaction_type_encoded,trans_pay_combo_encoded,amount_range_encoded,company_group_encoded,doc_number_first_digit_encoded,company_code_encoded
1504,4200004825,EF7789421YORUMAJANSPAZARLAMAITHALATVET-FATURABEDEL,H,400000.0,TRY,NEFT,,1200110387.0,,50,1,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,12.899222326086994,xlarge,NEFT_H,group_A,4,10,0,1,0,0,0,0,0,1,0,0,2,2,5,0,0,1504
1504,4200004824,SEBNEMBATI-GUROLBATIODAKEGI,H,21000.0,TRY,NMSC,,1200120489.0,,27,0,0.9629629629629629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9.952325334619427,large,NMSC_H,group_A,4,10,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,1504
1504,4200004826,ANADOLUISLETMELERITI-KEN,H,72000.0,TRY,NMSC,,1200118263.0,,24,0,0.9583333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11.184435286790631,large,NMSC_H,group_A,4,10,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,1504
1504,4200004828,FUARCILIKLTD.STI.-FUARCILIKODEMET,H,24000.0,TRY,NMSC,,1200100451.0,,33,0,0.9090909090909091,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,10.085850775128717,large,NMSC_H,group_A,4,10,0,0,0,0,0,1,0,1,0,0,3,4,0,0,0,1504
1504,4200004827,INT-HVL-BAŞAKŞEHİRCHODEME-KARSILIKSIZ-MEDYA9ILETIS,H,158000.0,TRY,NTRF,,1200105945.0,,50,1,0.9,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,11.970356641102999,xlarge,NTRF_H,group_A,4,10,0,0,1,0,0,1,0,1,0,0,6,9,5,0,0,1504
1504,4200004830,CEPSUBE-HVL-SEAKTOPRAPORODEMESI-SELINKILIC,H,2932.84,TRY,NTRF,,1969001784.0,,42,0,0.9285714285714286,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7.984067424155278,medium,NTRF_H,group_A,4,10,0,0,1,0,0,1,0,1,0,0,6,9,1,0,0,1504
1504,4200004829,016716297369ISTANBULAIFAHOLDINGANONIMSIRKETITCKN:VK,S,3300000.0,TRY,NTRF,3200200009.0,,,51,1,0.7450980392156863,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15.009433329466965,mega,NTRF_S,group_A,4,10,0,0,1,1,0,0,1,0,0,1,6,10,2,0,0,1504
1504,4200004823,THEHESABAHAVALEKOMISYONU-KOMTCKN:VKN:,S,55.46,TRY,NTRF,,,7800150001.0,37,0,0.918918918918919,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,4.033532422825343,micro,NTRF_S,group_A,4,10,0,0,1,0,0,0,1,0,0,1,6,10,3,0,0,1504
1504,4200004831,10/09/2024CEKTAHSILATIUCRETITCKN:VKN:,S,44.24,TRY,NCHG,,,7800150002.0,37,1,0.6756756756756757,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,3,0,0,3.81198165124792,micro,NCHG_S,group_A,4,10,0,0,0,0,1,0,1,0,1,1,0,0,3,0,0,1504
1504,4200004782,4310NOVARALASYONVELLIK-OBA2024000,H,182180.78,TRY,NEFT,,1200118065.0,,33,1,0.6363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,12.112760258807661,xlarge,NEFT_H,group_A,4,10,0,1,0,0,0,0,0,1,0,0,2,2,5,0,0,1504
